parameter_comb trial mean_fitness max_fitness mean_gain max_gain
(50,50,12) 0 49.13022884402154 64.87739272186231 -19.995882562956186 7.37297372896699
(50,50,12) 1 58.53540608596287 66.65307870203907 -3.3731125858356226 12.226472753451787
(50,50,12) 2 54.869547826645615 62.15435288500212 -10.353571419244084 3.256041323328077
(75,15,4) 0 47.03018054492965 60.66731604735645 -23.145800515441525 0.6659896347647418
(75,15,4) 1 47.54721121832561 60.79746614780825 -23.608597374199945 0.761529806963491
(75,15,4) 2 48.518850388444314 61.20521163719401 -21.84525925980615 0.054739527206983496
(75,15,8) 0 50.28959859199981 61.25464403309042 -18.578031007906457 1.7430137719710537
(75,15,8) 1 47.14919515441737 58.72836758099425 -24.496058634281646 -3.6424629771954855
(75,15,8) 2 52.51552068899989 59.87782598302708 -15.025387669428474 -1.1156716800554118
(75,15,12) 0 46.521798196414856 60.81078352060163 -25.324526607532473 1.131666744626962
(75,15,12) 1 52.71119348851044 61.4872884066679 -15.147882767073098 1.5640493321218578
(75,15,12) 2 51.706334261189795 60.343065410008705 -16.241747889001807 0.3942815953406562
(75,25,4) 0 56.49210739462315 62.53017286363625 -7.639675768990545 3.9867412015403687
(75,25,4) 1 47.645328002980015 68.41501480890312 -23.44620637429243 15.700842467361753
(75,25,4) 2 47.70003011762526 61.46342448794123 -22.312580059002773 2.1191284551933087
(75,25,8) 0 44.60827629672091 62.30788389344651 -27.639630798594965 3.269709733616269
(75,25,8) 1 52.00498910683268 62.09891614864565 -15.425814363722356 1.7067941538749523
(75,25,8) 2 51.408091912896005 60.92432716768306 -16.83390969933248 1.4396448483338258
(75,25,12) 0 49.13616701223847 66.78958023911842 -19.737365996542383 12.734859833001806
(75,25,12) 1 54.595973534824516 62.65330586115196 -9.7686696325896 4.32827929315361
(75,25,12) 2 57.457087158314465 62.42457769090024 -5.322812883834054 3.9323278666380297
(75,50,4) 0 47.89911500110307 62.087056647117194 -22.225130537308907 1.9062533169510836
(75,50,4) 1 50.222339340615754 66.71538219351928 -18.1498401268174 11.945320650813755
(75,50,4) 2 52.11830756792622 66.47002236423162 -14.557129020446574 11.422755426952655
(75,50,8) 0 44.69631550849957 61.929333281071486 -27.124878028498813 2.958101213029373
(75,50,8) 1 54.92058802053945 63.55648723301266 -9.008748947361674 5.52004501165783
(75,50,8) 2 45.5558155972991 61.63985263051586 -25.48604300153275 2.560198811629885
(75,50,12) 0 48.056729856627314 63.08923900196717 -21.305617802579505 4.607569376829659
(75,50,12) 1 48.98601137408783 65.3001795816751 -20.063887613182622 8.886613229646201
(75,50,12) 2 58.70698601657453 65.98199348840491 -3.262436701702618 10.429359531245645
(100,15,4) 0 47.870280226475685 61.41850731536647 -22.288132603267933 2.006835523756399
(100,15,4) 1 45.56615432445981 59.60658294484247 -27.049818799230124 -1.4469245675749214
(100,15,4) 2 47.147222661166694 57.030512117539416 -24.23052591233805 -6.5743548007624035
(100,15,8) 0 50.85945635189481 60.45592589445402 -17.41834471015444 0.6628713083254603
(100,15,8) 1 50.788303864671825 60.314933337860104 -17.595140407141926 0.1221883005173936
(100,15,8) 2 49.612913929500046 60.31509376018062 -19.56720891102818 0.3243524707704477
(100,15,12) 0 49.807302566997414 60.242082753669266 -19.415208670931246 -0.6000931705379955
(100,15,12) 1 47.011340783248805 58.46188354995936 -24.41359293926773 -4.064746171748681
(100,15,12) 2 47.142533605298595 60.41831515487794 -24.14815876793992 -0.4810416990948312
(100,25,4) 0 45.5197046635233 58.82160717122757 -27.26217984571349 -3.7008158097206554
(100,25,4) 1 53.10498634612369 61.51407740819923 -13.213403801813666 2.4706532569290154
(100,25,4) 2 48.103792698740456 60.96713667156794 -21.496192454781852 1.3501510129397651
(100,25,8) 0 54.38971551589721 65.27506719781438 -10.847404847584476 8.435367510909565
(100,25,8) 1 57.522089674954465 61.49931208729507 -5.102401996970453 1.5632605332081297
(100,25,8) 2 53.276462214771534 61.25316254349801 -12.51850960934168 1.5934735940852391
(100,25,12) 0 53.892906032330195 62.91704513718868 -11.697144067543695 4.303522078177446
(100,25,12) 1 53.14025282925667 61.9892471449241 -12.673841823327205 3.1786231446068776
(100,25,12) 2 54.93530207253415 62.796649301219425 -10.897255708479758 3.7886718650170366
(100,50,4) 0 51.67049269473486 63.347314682765045 -16.19279377239086 5.568191408541136
(100,50,4) 1 52.56781113132742 60.82925337619418 -14.92094916388631 0.84099787792832
(100,50,4) 2 51.35610666035285 66.47817396786803 -15.857528724887757 10.761206889512302
(100,50,8) 0 47.4118776821306 63.047182314195965 -23.960340447317908 3.7996401902268886
(100,50,8) 1 53.530445012852525 66.73293835867923 -12.038608722525066 11.989211063713654
(100,50,8) 2 55.19750528056542 62.63568534419581 -10.340782503639396 3.2457204465178506
(100,50,12) 0 55.37654794971581 62.98407987492909 -8.373538566311227 4.678038832725562
(100,50,12) 1 54.979158686519916 65.21559569949882 -9.155440267162977 8.048596090141686
(100,50,12) 2 50.43512357946247 62.27447298104311 -17.299374140100333 3.1127798160677997
