Parameter Comb.	Enemy	Trial	Mean Fitness
(25, 8, 0.1)	8	0	86.19924381609054
(25, 8, 0.1)	8	1	82.65050356806363
(25, 8, 0.1)	8	2	91.64102824832811
(50, 2, 0.01)	5	0	88.70264032546851
(50, 2, 0.01)	5	1	85.3400671440922
(50, 2, 0.01)	5	2	86.46530402366704
(50, 2, 0.01)	7	0	81.14185934619817
(50, 2, 0.01)	7	1	77.85878509996533
(50, 2, 0.01)	7	2	81.82983265692094
(50, 2, 0.01)	8	0	76.96971142289321
(50, 2, 0.01)	8	1	77.68650041916239
(50, 2, 0.01)	8	2	77.28876533402438
(50, 2, 0.05)	5	0	83.29378112196427
(50, 2, 0.05)	5	1	91.24330938639827
(50, 2, 0.05)	5	2	87.78266438510455
(50, 2, 0.05)	7	0	90.54755979786782
(50, 2, 0.05)	7	1	80.32819925672288
(50, 2, 0.05)	7	2	87.07556357155819
(50, 2, 0.05)	8	0	72.07384345550128
(50, 2, 0.05)	8	1	77.64186970677432
(50, 2, 0.05)	8	2	82.05661261375121
(50, 2, 0.1)	5	0	86.0459637597073
(50, 2, 0.1)	5	1	81.65369534570918
(50, 2, 0.1)	5	2	83.20027856283949
(50, 2, 0.1)	7	0	85.83537457373782
(50, 2, 0.1)	7	1	80.75643630676501
(50, 2, 0.1)	7	2	85.11148926009025
(50, 2, 0.1)	8	0	74.479318814668
(50, 2, 0.1)	8	1	77.84295607195074
(50, 2, 0.1)	8	2	70.1368738124753
(50, 4, 0.01)	5	0	92.98495204857078
(50, 4, 0.01)	5	1	91.76272195279012
(50, 4, 0.01)	5	2	93.46146508805505
(50, 4, 0.01)	7	0	91.30263766590271
(50, 4, 0.01)	7	1	88.68994792857926
(50, 4, 0.01)	7	2	90.90108976405784
(50, 4, 0.01)	8	0	84.7010093776274
(50, 4, 0.01)	8	1	71.02793170825916
(50, 4, 0.01)	8	2	89.47469386526375
(50, 4, 0.05)	5	0	89.4605591969872
(50, 4, 0.05)	5	1	93.8584806318807
(50, 4, 0.05)	5	2	93.91916260305226
(50, 4, 0.05)	7	0	87.73150436639492
(50, 4, 0.05)	7	1	79.29113712357427
(50, 4, 0.05)	7	2	90.15928695769915
(50, 4, 0.05)	8	0	83.15301792131851
(50, 4, 0.05)	8	1	91.51736607732423
(50, 4, 0.05)	8	2	91.09713966775247
(50, 4, 0.1)	5	0	86.17621268544546
(50, 4, 0.1)	5	1	89.56560706188871
(50, 4, 0.1)	5	2	93.41695159003773
(50, 4, 0.1)	7	0	90.14140119635942
(50, 4, 0.1)	7	1	87.93207342881085
(50, 4, 0.1)	7	2	90.49121190604164
(50, 4, 0.1)	8	0	82.72497900916
(50, 4, 0.1)	8	1	84.50831913718892
(50, 4, 0.1)	8	2	83.07692318401725
(50, 8, 0.01)	5	0	93.65944351078278
(50, 8, 0.01)	5	1	94.35696921406988
(50, 8, 0.01)	5	2	94.39902465205756
(50, 8, 0.01)	7	0	93.34920948772242
(50, 8, 0.01)	7	1	85.51446847689802
(50, 8, 0.01)	7	2	89.31890697988403
(50, 8, 0.01)	8	0	91.1976820715231
(50, 8, 0.01)	8	1	91.8614778687968
(50, 8, 0.01)	8	2	82.89568661591514
(50, 8, 0.05)	5	0	93.77970201951811
(50, 8, 0.05)	5	1	85.8081832771687
(50, 8, 0.05)	5	2	93.8826520528229
(50, 8, 0.05)	7	0	90.47599576977761
(50, 8, 0.05)	7	1	87.78836780847801
(50, 8, 0.05)	7	2	89.77066826287323
(50, 8, 0.05)	8	0	89.83184714130482
(50, 8, 0.05)	8	1	87.9050219057046
(50, 8, 0.05)	8	2	82.081767378368
(50, 8, 0.1)	5	0	93.40794405872091
(50, 8, 0.1)	5	1	94.35220202057192
(50, 8, 0.1)	5	2	93.12925234711923
(50, 8, 0.1)	7	0	87.91401758268157
(50, 8, 0.1)	7	1	90.99163839347338
(50, 8, 0.1)	7	2	87.33795034045635
(50, 8, 0.1)	8	0	86.49030035067602
(50, 8, 0.1)	8	1	78.28860041343664
(50, 8, 0.1)	8	2	92.12359114327738
